iter	Logloss
339	0.2598736098
340	0.2598608794
341	0.2598548047
342	0.2598499892
343	0.2598392652
344	0.2598327996
345	0.2598268296
346	0.2597994428
347	0.2597954164
348	0.2597801605
349	0.2597670281
350	0.2597575877
351	0.2597501351
352	0.2597388936
353	0.259707003
354	0.2597005312
355	0.2596859734
356	0.2596831193
357	0.2596653196
358	0.2596623496
359	0.2596526436
360	0.2596468924
361	0.2596406633
362	0.2596183203
363	0.2596029492
364	0.2595885367
365	0.2595739898
366	0.2595592951
367	0.2595389215
368	0.2595070169
369	0.2595050945
370	0.2594664545
371	0.2594527033
372	0.259445425
373	0.2594356894
374	0.2594123521
375	0.2593921599
376	0.2593637403
377	0.2593566125
378	0.2593454486
379	0.2593287606
380	0.2593251958
381	0.259305819
382	0.259293463
383	0.25927239
384	0.2592699437
385	0.2592564736
386	0.2592485684
387	0.2592422751
388	0.2592290918
389	0.2592164524
390	0.2592039127
391	0.259189808
392	0.2591855269
393	0.2591832349
394	0.2591791934
395	0.2591685623
396	0.2591555971
397	0.2591432775
398	0.2591323817
399	0.2591182138
400	0.2591008898
401	0.259093171
402	0.2590860505
403	0.259079991
404	0.2590683565
405	0.259052948
406	0.2590472232
407	0.2590326609
408	0.2590275261
409	0.2590236692
410	0.2590135628
411	0.2589965239
412	0.2589919535
413	0.2589887226
414	0.2589714261
415	0.2589631706
416	0.2589529189
417	0.258945837
418	0.2589324062
419	0.2589148751
420	0.2589068441
421	0.2588822541
422	0.2588764015
423	0.2588500756
424	0.2588366721
425	0.2588286608
426	0.2588202112
427	0.2588014575
428	0.2587992853
429	0.2587940224
430	0.2587737135
431	0.2587639488
432	0.2587519477
433	0.2587375455
434	0.2587134331
435	0.2586948489
436	0.2586787035
437	0.2586762381
438	0.2586548872
439	0.258636056
440	0.2586300602
441	0.2586288376
442	0.2586225133
443	0.2585977196
444	0.2585796967
445	0.2585591721
446	0.2585371458
447	0.2585307373
448	0.2585163263
449	0.2585055915
450	0.2584986491
451	0.2584717662
452	0.2584509066
453	0.258440003
454	0.2584276685
455	0.2584225593
456	0.2584205673
457	0.2584111284
458	0.2583937954
459	0.258373156
460	0.2583503706
461	0.2583305911
462	0.2583210458
463	0.2583146597
464	0.2583030191
465	0.2582931419
466	0.2582750496
467	0.2582696757
468	0.258267518
469	0.2582653696
470	0.2582596186
471	0.258241716
472	0.2582191491
473	0.2581917749
474	0.2581818546
475	0.2581641226
476	0.2581552991
477	0.2581476325
478	0.2581353955
479	0.2581207463
480	0.2581156352
481	0.2581014373
482	0.2580987515
483	0.2580692794
484	0.2580676873
485	0.2580652631
486	0.2580629636
487	0.25805008
488	0.2580295472
489	0.2580142878
490	0.2580054272
491	0.2579980635
492	0.2579917767
493	0.2579852138
494	0.2579660681
495	0.2579542691
496	0.2579278727
497	0.2579248342
498	0.2579109177
499	0.2578894662
500	0.257877328
501	0.2578544818
502	0.2578375458
503	0.2578366127
504	0.2578311104
505	0.2578208292
506	0.2578057084
507	0.2578037903
508	0.2577939348
509	0.2577767662
510	0.2577715213
511	0.2577660228
512	0.257760919
513	0.2577602557
514	0.2577514096
515	0.2577485909
516	0.2577384773
517	0.2577158272
518	0.2577061023
519	0.2576908999
520	0.2576770638
521	0.2576648345
522	0.2576595758
523	0.2576564821
524	0.2576477697
525	0.2576452965
526	0.2576312812
527	0.2576235746
528	0.2576207671
529	0.2576158056
530	0.2575999642
531	0.257594668
532	0.2575727731
533	0.2575588341
